Cod_Mun,Mun,Referência,Pes_PBF,Pes_Cad,F_PBF_Domi,F_PBF_EP,F_CAD_EP
35001050120,Adamantina,01/20,958.0,5487.0,2.73,138.0,154.0
35002040120,Adolfo,01/20,432.0,1758.0,10.78,107.0,150.0
35003030120,Aguaí,01/20,3796.0,10495.0,9.33,658.0,1033.0
35004020120,Águas da Prata,01/20,512.0,2002.0,5.83,103.0,121.0
35005010120,Águas de Lindóia,01/20,962.0,2984.0,5.58,214.0,245.0
35005500120,Águas de Santa Bárbara,01/20,1154.0,2421.0,17.91,273.0,388.0
35006000120,Águas de São Pedro,01/20,118.0,294.0,3.02,27.0,43.0
35007090120,Agudos,01/20,3048.0,9286.0,8.13,555.0,623.0
35007580120,Alambari,01/20,623.0,1746.0,8.26,23.0,35.0
35008080120,Alfredo Marcondes,01/20,515.0,1726.0,11.28,115.0,154.0
35009070120,Altair,01/20,373.0,1498.0,9.1,89.0,144.0
35010040120,Altinópolis,01/20,2374.0,5832.0,13.92,660.0,837.0
35011030120,Alto Alegre,01/20,457.0,1244.0,10.59,138.0,185.0
35011520120,Alumínio,01/20,1621.0,3769.0,8.69,356.0,528.0
35012020120,Álvares Florence,01/20,273.0,1500.0,6.07,56.0,161.0
35013010120,Álvares Machado,01/20,3566.0,8242.0,14.34,844.0,1135.0
35014000120,Álvaro de Carvalho,01/20,829.0,2162.0,21.32,185.0,254.0
35015090120,Alvinlândia,01/20,470.0,1506.0,13.64,63.0,100.0
35016080120,Americana,01/20,10706.0,27794.0,4.44,3024.0,4199.0
35017070120,Américo Brasiliense,01/20,2027.0,5881.0,4.73,405.0,646.0
35018060120,Américo de Campos,01/20,538.0,2575.0,8.24,61.0,90.0
35019050120,Amparo,01/20,2887.0,8230.0,3.92,641.0,796.0
35020020120,Analândia,01/20,541.0,1192.0,10.14,148.0,213.0
35021010120,Andradina,01/20,5339.0,12793.0,9.45,1549.0,2142.0
35022000120,Angatuba,01/20,2466.0,7869.0,9.26,448.0,610.0
35023090120,Anhembi,01/20,1245.0,2594.0,17.3,286.0,422.0
35024080120,Anhumas,01/20,478.0,1968.0,10.01,73.0,115.0
35025070120,Aparecida,01/20,2737.0,6984.0,6.15,219.0,279.0
35026060120,Aparecida d'Oeste,01/20,756.0,1914.0,16.98,226.0,301.0
35027050120,Apiaí,01/20,5580.0,12343.0,22.66,1385.0,1808.0
35027540120,Araçariguama,01/20,3062.0,6515.0,14.22,751.0,1072.0
35028040120,Araçatuba,01/20,10764.0,42475.0,5.44,2400.0,3931.0
35029030120,Araçoiaba da Serra,01/20,3011.0,8638.0,8.47,584.0,815.0
35030000120,Aramina,01/20,546.0,1796.0,9.67,141.0,231.0
35031090120,Arandu,01/20,794.0,2466.0,11.06,152.0,233.0
35031580120,Arapeí,01/20,447.0,1445.0,16.99,127.0,166.0
35032080120,Araraquara,01/20,12615.0,37633.0,4.96,2515.0,3726.0
35033070120,Araras,01/20,14431.0,35021.0,11.75,4341.0,5984.0
35033560120,Arco-Íris,01/20,440.0,1032.0,20.57,109.0,137.0
35034060120,Arealva,01/20,836.0,2986.0,8.14,153.0,255.0
35035050120,Areias,01/20,984.0,1952.0,25.51,271.0,332.0
35036040120,Areiópolis,01/20,1275.0,3244.0,9.94,168.0,243.0
35037030120,Ariranha,01/20,510.0,1542.0,5.32,75.0,109.0
35038020120,Artur Nogueira,01/20,3366.0,11916.0,5.48,443.0,659.0
35039010120,Arujá,01/20,11233.0,26364.0,12.65,2269.0,3089.0
35039500120,Aspásia,01/20,209.0,1106.0,10.15,46.0,73.0
35040080120,Assis,01/20,6653.0,19983.0,5.99,1111.0,1509.0
35041070120,Atibaia,01/20,9436.0,26960.0,6.35,1844.0,2371.0
35042060120,Auriflama,01/20,456.0,1884.0,2.82,91.0,117.0
35043050120,Avaí,01/20,894.0,1768.0,16.5,253.0,310.0
35044040120,Avanhandava,01/20,2559.0,4772.0,24.03,787.0,982.0
35045030120,Avaré,01/20,7567.0,18662.0,7.76,1531.0,2106.0
35046020120,Bady Bassitt,01/20,743.0,4421.0,3.73,75.0,164.0
35047010120,Balbinos,01/20,286.0,687.0,20.77,94.0,131.0
35048000120,Bálsamo,01/20,505.0,2434.0,4.86,57.0,101.0
35049090120,Bananal,01/20,1807.0,5006.0,14.98,310.0,385.0
35050050120,Barão de Antonina,01/20,829.0,1826.0,22.43,201.0,246.0
35051040120,Barbosa,01/20,1140.0,2943.0,15.81,322.0,460.0
35052030120,Bariri,01/20,2432.0,6514.0,5.99,476.0,718.0
35053020120,Barra Bonita,01/20,2927.0,6915.0,8.34,849.0,1128.0
35053510120,Barra do Chapéu,01/20,2203.0,3874.0,38.25,589.0,738.0
35054010120,Barra do Turvo,01/20,2102.0,4494.0,26.58,569.0,760.0
35055000120,Barretos,01/20,8249.0,21109.0,6.86,2352.0,3312.0
35056090120,Barrinha,01/20,5469.0,11137.0,15.72,1453.0,1874.0
35057080120,Barueri,01/20,27416.0,68103.0,10.04,6423.0,9352.0
35058070120,Bastos,01/20,1292.0,5405.0,5.61,151.0,171.0
35059060120,Batatais,01/20,5567.0,13339.0,8.88,1481.0,1973.0
35060030120,Bauru,01/20,26238.0,86301.0,7.49,7198.0,10401.0
35061020120,Bebedouro,01/20,6948.0,18343.0,8.32,1468.0,2069.0
35062010120,Bento de Abreu,01/20,386.0,1005.0,11.29,103.0,130.0
35063000120,Bernardino de Campos,01/20,1636.0,3859.0,14.86,495.0,662.0
35063590120,Bertioga,01/20,9334.0,20943.0,14.56,2353.0,3414.0
35064090120,Bilac,01/20,583.0,2555.0,6.63,107.0,141.0
35065080120,Birigui,01/20,6068.0,21453.0,4.37,1203.0,1812.0
35066070120,Biritiba Mirim,01/20,5529.0,12164.0,16.85,1304.0,1769.0
35067060120,Boa Esperança do Sul,01/20,2486.0,4961.0,16.59,727.0,999.0
35068050120,Bocaina,01/20,986.0,3036.0,7.56,197.0,268.0
35069040120,Bofete,01/20,1407.0,3299.0,11.23,341.0,474.0
35070010120,Boituva,01/20,5093.0,12210.0,8.29,1094.0,1409.0
35071000120,Bom Jesus dos Perdões,01/20,3758.0,7660.0,14.25,881.0,1227.0
35071590120,Bom Sucesso de Itararé,01/20,1157.0,2398.0,31.28,304.0,350.0
35072090120,Borá,01/20,160.0,424.0,17.69,20.0,33.0
35073080120,Boracéia,01/20,829.0,1641.0,17.54,249.0,361.0
35074070120,Borborema,01/20,1254.0,4397.0,7.17,224.0,317.0
35074560120,Borebi,01/20,433.0,1426.0,15.69,114.0,153.0
35075060120,Botucatu,01/20,9354.0,26157.0,6.28,2175.0,3280.0
35076050120,Bragança Paulista,01/20,10828.0,34534.0,6.7,2187.0,3330.0
35077040120,Braúna,01/20,1061.0,2389.0,18.47,300.0,358.0
35077530120,Brejo Alegre,01/20,570.0,1644.0,19.9,169.0,215.0
35078030120,Brodowski,01/20,1851.0,5014.0,6.79,378.0,482.0
35079020120,Brotas,01/20,1238.0,4576.0,4.83,218.0,254.0
35080090120,Buri,01/20,5183.0,9643.0,24.54,1327.0,1788.0
35081080120,Buritama,01/20,3214.0,6549.0,17.56,865.0,1156.0
35082070120,Buritizal,01/20,599.0,2134.0,13.47,171.0,237.0
35083060120,Cabrália Paulista,01/20,617.0,2363.0,11.7,104.0,134.0
35084050120,Cabreúva,01/20,3409.0,8945.0,6.08,611.0,858.0
35085040120,Caçapava,01/20,7439.0,18875.0,7.55,1507.0,2102.0
35086030120,Cachoeira Paulista,01/20,5965.0,9593.0,18.09,1824.0,2270.0
35087020120,Caconde,01/20,3653.0,7575.0,16.74,828.0,1019.0
35088010120,Cafelândia,01/20,1356.0,3656.0,6.93,216.0,278.0
35089000120,Caiabu,01/20,385.0,1424.0,8.49,99.0,125.0
35090070120,Caieiras,01/20,5889.0,18810.0,5.5,996.0,1158.0
35091060120,Caiuá,01/20,1234.0,2232.0,22.14,385.0,508.0
35092050120,Cajamar,01/20,16756.0,29579.0,23.2,5698.0,7846.0
35092540120,Cajati,01/20,4795.0,12175.0,15.6,1025.0,1428.0
35093040120,Cajobi,01/20,1567.0,3828.0,14.4,438.0,558.0
35094030120,Cajuru,01/20,2756.0,6026.0,10.13,749.0,1057.0
35094520120,Campina do Monte Alegre,01/20,828.0,2354.0,12.42,186.0,313.0
35095020120,Campinas,01/20,97980.0,222025.0,8.13,27624.0,38198.0
35096010120,Campo Limpo Paulista,01/20,7631.0,17227.0,8.89,1999.0,2843.0
35097000120,Campos do Jordão,01/20,3246.0,10221.0,5.74,378.0,457.0
35098090120,Campos Novos Paulista,01/20,877.0,1730.0,15.37,174.0,214.0
35099080120,Cananéia,01/20,2028.0,5032.0,14.3,355.0,439.0
35099570120,Canas,01/20,1236.0,2389.0,24.48,348.0,468.0
35100050120,Cândido Mota,01/20,2465.0,7300.0,7.37,530.0,710.0
35101040120,Cândido Rodrigues,01/20,282.0,790.0,10.18,83.0,115.0
35101530120,Canitar,01/20,997.0,2342.0,19.35,207.0,283.0
35102030120,Capão Bonito,01/20,11218.0,24656.0,23.09,2419.0,3187.0
35103020120,Capela do Alto,01/20,3903.0,8016.0,16.84,871.0,1133.0
35104010120,Capivari,01/20,7705.0,12343.0,16.06,2610.0,3300.0
35105000120,Caraguatatuba,01/20,15226.0,42946.0,12.35,3446.0,4975.0
35106090120,Carapicuíba,01/20,56704.0,122301.0,15.04,16644.0,23791.0
35107080120,Cardoso,01/20,974.0,3679.0,6.42,110.0,133.0
35108070120,Casa Branca,01/20,3335.0,6784.0,11.52,918.0,1251.0
35109060120,Cássia dos Coqueiros,01/20,331.0,942.0,10.59,49.0,58.0
35110030120,Castilho,01/20,2195.0,6820.0,9.41,360.0,442.0
35111020120,Catanduva,01/20,4695.0,15332.0,3.62,1095.0,1562.0
35112010120,Catiguá,01/20,697.0,2006.0,8.55,163.0,199.0
35113000120,Cedral,01/20,460.0,2924.0,4.43,69.0,98.0
35114090120,Cerqueira César,01/20,1944.0,5505.0,8.71,329.0,487.0
35115080120,Cerquilho,01/20,1831.0,6284.0,3.37,325.0,533.0
35116070120,Cesário Lange,01/20,1099.0,3479.0,5.86,155.0,228.0
35117060120,Charqueada,01/20,2050.0,3853.0,12.43,607.0,819.0
35119040120,Clementina,01/20,877.0,2807.0,9.79,163.0,209.0
35120010120,Colina,01/20,1784.0,3871.0,10.71,577.0,801.0
35121000120,Colômbia,01/20,1352.0,3769.0,23.52,420.0,532.0
35122090120,Conchal,01/20,5133.0,9216.0,17.97,1379.0,1762.0
35123080120,Conchas,01/20,1923.0,4963.0,10.37,404.0,564.0
35124070120,Cordeirópolis,01/20,1700.0,6073.0,7.37,399.0,554.0
35125060120,Coroados,01/20,810.0,2884.0,11.46,157.0,216.0
35126050120,Coronel Macedo,01/20,829.0,2330.0,15.42,187.0,222.0
35127040120,Corumbataí,01/20,430.0,1091.0,10.55,120.0,191.0
35128030120,Cosmópolis,01/20,4092.0,10207.0,5.92,1020.0,1323.0
35129020120,Cosmorama,01/20,1164.0,3012.0,14.36,296.0,423.0
35130090120,Cotia,01/20,16801.0,45638.0,6.49,3636.0,4446.0
35131080120,Cravinhos,01/20,4073.0,8261.0,12.59,1284.0,1706.0
35132070120,Cristais Paulista,01/20,918.0,2717.0,9.72,171.0,226.0
35133060120,Cruzália,01/20,223.0,1124.0,9.1,49.0,278.0
35134050120,Cruzeiro,01/20,8456.0,18316.0,9.48,1686.0,2165.0
35135040120,Cubatão,01/20,16098.0,29757.0,12.95,5165.0,6889.0
35136030120,Cunha,01/20,4726.0,10282.0,19.8,922.0,1150.0
35137020120,Descalvado,01/20,1912.0,5971.0,5.16,308.0,418.0
35138010120,Diadema,01/20,44033.0,116508.0,11.29,12335.0,18003.0
35138500120,Dirce Reis,01/20,137.0,799.0,7.42,31.0,43.0
35139000120,Divinolândia,01/20,1408.0,3379.0,11.53,338.0,442.0
35140070120,Dobrada,01/20,1275.0,2607.0,13.33,319.0,435.0
35141060120,Dois Córregos,01/20,2752.0,7437.0,9.46,508.0,690.0
35142050120,Dolcinópolis,01/20,230.0,889.0,9.96,63.0,104.0
35143040120,Dourado,01/20,1371.0,2587.0,13.86,342.0,453.0
35144030120,Dracena,01/20,2205.0,8928.0,4.68,439.0,570.0
35145020120,Duartina,01/20,1193.0,4583.0,9.03,117.0,166.0
35146010120,Dumont,01/20,1040.0,2167.0,10.29,228.0,330.0
35147000120,Echaporã,01/20,1358.0,3039.0,21.83,413.0,557.0
35148090120,Eldorado,01/20,3404.0,7479.0,20.45,645.0,819.0
35149080120,Elias Fausto,01/20,3117.0,5574.0,18.2,949.0,1282.0
35149240120,Elisiário,01/20,425.0,937.0,12.33,146.0,195.0
35149570120,Embaúba,01/20,150.0,510.0,6.29,47.0,74.0
35150040120,Embu das Artes,01/20,38741.0,91951.0,15.53,10726.0,15255.0
35151030120,Embu-Guaçu,01/20,14114.0,32128.0,21.85,4001.0,5603.0
35151290120,Emilianópolis,01/20,373.0,1282.0,11.17,80.0,103.0
35151520120,Engenheiro Coelho,01/20,1867.0,7326.0,8.43,375.0,546.0
35151860120,Espírito Santo do Pinhal,01/20,2243.0,6222.0,5.4,627.0,827.0
35151940120,Espírito Santo do Turvo,01/20,413.0,2013.0,7.19,49.0,58.0
35152020120,Estrela d'Oeste,01/20,555.0,2950.0,5.93,126.0,180.0
35153010120,Estrela do Norte,01/20,224.0,932.0,9.08,65.0,76.0
35153500120,Euclides da Cunha Paulista,01/20,2151.0,4720.0,22.85,569.0,690.0
35154000120,Fartura,01/20,1609.0,5804.0,9.35,288.0,455.0
35155090120,Fernandópolis,01/20,6244.0,17117.0,8.89,1825.0,2447.0
35156080120,Fernando Prestes,01/20,455.0,1279.0,6.76,71.0,95.0
35156570120,Fernão,01/20,195.0,569.0,10.36,31.0,41.0
35157070120,Ferraz de Vasconcelos,01/20,23862.0,54471.0,12.67,6704.0,8845.0
35158060120,Flora Rica,01/20,229.0,663.0,11.6,59.0,62.0
35159050120,Floreal,01/20,297.0,1145.0,9.48,86.0,141.0
35160020120,Flórida Paulista,01/20,1628.0,3500.0,14.62,501.0,633.0
35161010120,Florínea,01/20,575.0,1802.0,22.18,196.0,250.0
35162000120,Franca,01/20,19802.0,60161.0,5.52,4651.0,7053.0
35163090120,Francisco Morato,01/20,32906.0,69401.0,19.05,8743.0,12220.0
35164080120,Franco da Rocha,01/20,21526.0,44087.0,15.39,6195.0,8262.0
35165070120,Gabriel Monteiro,01/20,169.0,1024.0,5.06,32.0,41.0
